seg_id,seg_label,xs,ys,zs,xe,ye,ze,xm,ym,zm,diameter
233,basal3_02122,-2.9900002479553223,-177.5191650390625,-132.93251037597656,-5.03000020980835,-182.04916381835938,-147.01251220703125,-4.632881849223923,-179.44415148379605,-140.0101776957995,0.5
234,basal3_022,-4.340000152587891,-38.6591682434082,-23.13250160217285,-4.356018522435315,-52.80950827555738,-19.13472427513087,-5.001154991729903,-45.4258035631398,-19.647155424185954,1.0
235,basal3_022,-4.356018522435315,-52.80950827555738,-19.13472427513087,-0.3215842798398,-66.07367059917961,-18.56858850245904,-1.6927953304576828,-59.58579456694732,-21.003834119144205,1.0
236,basal3_022,-0.3215842798398,-66.07367059917961,-18.56858850245904,1.0491274093767124,-81.24632271031267,-19.56937784546798,0.24632170654219054,-73.65195625895267,-19.338686584424224,0.5
237,basal3_022,1.0491274093767118,-81.24632271031265,-19.56937784546798,5.004638232910135,-92.03599017271144,-28.509079763098622,3.422369007227869,-87.81797483390005,-22.33926855573473,0.5
238,basal3_022,5.004638232910135,-92.03599017271144,-28.509079763098622,8.167916709756959,-102.03476293600258,-39.581829825279755,6.6571579510142485,-96.7308358337215,-34.30560631376152,0.5
239,basal3_022,8.167916709756959,-102.03476293600258,-39.581829825279755,11.699400875377084,-113.32287550533621,-48.85043188767443,9.679489369664662,-108.21286050642935,-43.54196492705334,0.5
240,basal3_022,11.699400875377084,-113.32287550533621,-48.85043188767443,15.563717720539476,-118.98023345796702,-62.44334165114874,13.75396814055162,-116.07872573814784,-55.62477678549821,0.5
241,basal3_022,15.563717720539476,-118.98023345796702,-62.44334165114874,19.37961799861415,-125.59204679363835,-75.66291139495304,17.18807997106384,-122.23279893661787,-69.16024023912239,0.5
242,basal3_022,19.379617998614158,-125.59204679363835,-75.66291139495306,22.245965888178095,-136.416750312712,-84.51003926899186,21.55281860899854,-129.97268234976042,-80.97914288205872,0.5
243,basal3_022,22.245965888178095,-136.416750312712,-84.51003926899186,27.584130631788558,-141.58957710505496,-96.57457787685321,23.80557135261925,-139.49570957184503,-90.44262607915402,0.5
244,basal3_022,27.58413063178857,-141.58957710505496,-96.57457787685323,32.28381694466408,-151.57140304643505,-106.81899806583841,30.431223229589097,-146.13941811563072,-101.77582907299802,0.5
245,basal3_022,32.28381694466408,-151.57140304643505,-106.81899806583841,40.96457233852765,-159.45681797120727,-115.27674419649153,36.197085902208265,-157.03509537371994,-110.26268848936006,0.5
246,basal3_022,40.964572338527674,-159.45681797120727,-115.27674419649156,48.06999969482422,-156.9691619873047,-128.2425079345703,44.842303586106794,-158.8241593171421,-121.57069558798604,0.5
247,basal4_0,4.0244957308885364e-16,-5.669167518615723,-6.572500228881836,8.855727345961342e-16,-9.199167251586914,-14.462499618530273,6.440111538424939e-16,-7.434167385101318,-10.517499923706055,2.0
248,basal4_01,8.855727345961342e-16,-9.199167251586914,-14.462499618530273,-3.7435493461993903,3.945128279155793,-32.50598470519256,0.7712491899352562,-1.2164989423363777,-23.00325377884828,1.0
249,basal4_01,-3.743549346199391,3.945128279155794,-32.50598470519257,-6.68978609326648,15.306691314979942,-52.0065477226927,-6.408015533372341,7.144299486017406,-43.62605206872382,1.0
250,basal4_01,-6.6897860932664805,15.306691314979947,-52.0065477226927,-10.890000343322754,30.410831451416016,-69.57250213623047,-8.002694201518484,23.593870255818487,-60.36811106183513,0.5
251,basal4_011,-10.890000343322754,30.410831451416016,-69.57250213623047,-25.653843589368137,31.24838358850327,-70.59143386969008,-18.271921966345445,30.829607519959644,-70.08196800296027,0.5
252,basal4_011,-25.653843589368137,31.24838358850327,-70.59143386969008,-40.41768683541352,32.085935725590524,-71.61036560314969,-33.03576521239083,31.6671596570469,-71.10089973641988,0.5
253,basal4_011,-40.41768683541352,32.085935725590524,-71.61036560314969,-55.181530081458895,32.92348786267778,-72.62929733660928,-47.799608458436204,32.50471179413415,-72.11983146987949,0.5
254,basal4_011,-55.18153008145889,32.92348786267778,-72.62929733660928,-68.04415311781631,36.706141528684,-74.18523372423144,-62.56345170448158,33.34226393122141,-73.1387632033391,0.5
255,basal4_011,-68.04415311781631,36.706141528684,-74.18523372423144,-66.3875507832026,46.79627877846598,-80.45318191249885,-69.92091747579273,42.57945610581363,-76.31386608820036,0.5
256,basal4_011,-66.3875507832026,46.79627877846598,-80.45318191249885,-66.47371664688183,44.934503351335245,-89.650274766352,-70.27027227135669,47.89691173829376,-85.23777039694936,0.5
257,basal4_011,-66.47371664688183,44.934503351335245,-89.650274766352,-56.38946702348253,40.048614903588756,-91.97782460629273,-59.424674440380855,43.09113410273005,-91.00699558342183,0.5
258,basal4_011,-56.38946702348253,40.048614903588756,-91.97782460629273,-67.99860523714563,31.303413091501795,-91.62047713193765,-61.40921219680893,34.59964488959097,-92.17424704041188,0.5
259,basal4_011,-67.99860523714565,31.30341309150178,-91.62047713193765,-76.5822589631028,21.39590559178541,-93.62893013711734,-73.76999500283188,26.886011567651884,-91.19726521949784,0.5
260,basal4_011,-76.5822589631028,21.39590559178541,-93.62893013711734,-73.409869790524,11.815417680452148,-103.08659803349627,-77.41920537629437,15.860677362379056,-98.48572607075864,0.5
261,basal4_011,-73.40986979052398,11.815417680452134,-103.08659803349629,-73.73402781456328,-0.47671453680735243,-109.54645697019954,-72.30000305175781,5.948523156012189,-106.86562309049779,0.5
262,basal4_011,-73.73402781456328,-0.47671453680735243,-109.54645697019954,-82.13933471725866,-11.140496081584319,-115.44304615484938,-77.84452678368845,-5.9158574942109,-112.45286707631918,0.5
