seg_id,xs,ys,zs,ds,as,xe,ye,ze,de,ae,segment,length
168,50.96,73.89,23.76,0.5,12.8855,56.1,76.89,21.21,0.5,19.3602,basal2_02221,6.47472779350607
169,56.1,76.89,21.21,0.5,19.3602,59.37,82.84,19.23,0.5,26.4324,basal2_02221,7.07218495233262
170,59.37,82.84,19.23,0.5,26.4324,65.24,89.26,16.71,0.5,35.4891,basal2_02221,9.05669365717975
171,65.24,89.26,16.71,0.5,35.4891,72.31,91.84,18.48,0.5,43.2205,basal2_02221,7.73137762627076
172,72.31,91.84,18.48,0.5,43.2205,82.36,94.31,17.97,0.5,53.5821,basal2_02221,10.3616359712161
173,82.36,94.31,17.97,0.5,53.5821,92.07,99.91,18.75,0.5,64.8183,basal2_02221,11.2362137751113
174,92.07,99.91,18.75,0.5,64.8183,94.87,113.12,21.06,0.5,78.518,basal2_02221,13.6996423310976
175,94.87,113.12,21.06,0.5,78.518,95.85,120.07,18.42,0.5,86.0168,basal2_02221,7.49883324257846
176,95.85,120.07,18.42,0.5,86.0168,97.1,125.94,15,0.5,92.9245,basal2_02221,6.90766241213336
177,44.94,64.44,19.05,1,0,50.25,65.86,18.45,0.5,5.52924,basal2_02222,5.52924045416728
178,50.25,65.86,18.45,0.5,5.52924,55.96,73.85,19.26,0.5,15.3832,basal2_02222,9.85394844719618
179,55.96,73.85,19.26,0.5,15.3832,61.58,76.74,16.74,0.5,22.1866,basal2_02222,6.80344765541707
180,61.58,76.74,16.74,0.5,22.1866,66.25,79.84,14.1,0.5,28.3825,basal2_02222,6.19584538218959
181,66.25,79.84,14.1,0.5,28.3825,72.2,84.2,12.03,0.5,36.0439,basal2_02222,7.66139673949862
182,72.2,84.2,12.03,0.5,36.0439,76.88,82.69,9.15,0.5,41.7427,basal2_02222,5.69885076133776
183,76.88,82.69,9.15,0.5,41.7427,81.51,81.02,4.41,0.5,48.576,basal2_02222,6.83325691014176
184,81.51,81.02,4.41,0.5,48.576,87.76,84.74,6.21,0.5,56.0687,basal2_02222,7.49272313648382
185,87.76,84.74,6.21,0.5,56.0687,90.56,88.84,9.63,0.5,62.0975,basal2_02222,6.02879755838592
186,90.56,88.84,9.63,0.5,62.0975,91.96,90.89,7.02,0.5,65.6995,basal2_02222,3.60202720700441
187,91.96,90.89,7.02,0.5,65.6995,92.87,92.92,7.02,0.5,67.9242,basal2_02222,2.2246348014899
188,92.87,92.92,7.02,0.5,67.9242,93.72,96.45,7.02,0.5,71.5551,basal2_02222,3.63089520641949
189,93.72,96.45,7.02,0.5,71.5551,98.5,100.12,7.02,0.5,77.5814,basal2_02222,6.02638365854681
190,98.5,100.12,7.02,0.5,77.5814,101.26,105.22,4.68,0.5,83.8347,basal2_02222,6.25325515231867
191,101.26,105.22,4.68,0.5,83.8347,103.63,107.81,4.65,0.5,87.3455,basal2_02222,3.51082611360916
192,103.63,107.81,4.65,0.5,87.3455,104.96,111.86,4.68,0.5,91.6084,basal2_02222,4.2628980752535
193,104.96,111.86,4.68,0.5,91.6084,108.25,115.97,4.53,0.5,96.8752,basal2_02222,5.26675421868156
194,5.66,-8.11,-3.64,2.04,0,11.24,-17.3,-3.99,1.5,10.7571,basal3_0,10.757090684753
195,11.24,-17.3,-3.99,1.5,0,16.14,-17.83,-3.99,1.5,4.92858,basal3_01,4.92857991717696
196,16.14,-17.83,-3.99,1.5,0,21.2,-19.92,-5.13,1,5.59208,basal3_011,5.59207474914275
197,21.2,-19.92,-5.13,1,5.59208,32.45,-21.29,-4.92,1,16.9271,basal3_011,11.3350562415896
198,32.45,-21.29,-4.92,1,16.9271,40.32,-21.94,-2.7,1,25.13,basal3_011,8.20291411633695
199,40.32,-21.94,-2.7,1,25.13,53.52,-21.17,-0.24,1,38.5794,basal3_011,13.4493308383726
200,53.52,-21.17,-0.24,1,38.5794,58.48,-18.34,-0.24,1,44.2899,basal3_011,5.7105603928161
201,58.48,-18.34,-0.24,1,0,60.1,-18.48,-0.09,1,1.63294,basal3_0111,1.63294213002176
202,60.1,-18.48,-0.09,1,1.63294,71,-16.71,2.34,1,12.9399,basal3_0111,11.3069801450255
203,71,-16.71,2.34,1,12.9399,78.47,-19.32,3.9,1,21.0051,basal3_0111,8.06514723982148
204,78.47,-19.32,3.9,1,0,91.14,-20.99,5.7,1,12.9057,basal3_01111,12.9057274107274
205,91.14,-20.99,5.7,1,12.9057,95.56,-21.42,5.7,1,17.3466,basal3_01111,4.44086703246112
206,95.56,-21.42,5.7,1,0,100.46,-21.95,10.47,0.5,6.85885,basal3_011111,6.8588482998241
207,100.46,-21.95,10.47,0.5,0,110.88,-20.07,13.44,0.5,10.9969,basal3_0111111,10.9968950163217
208,110.88,-20.07,13.44,0.5,10.9969,120.41,-20.05,16.44,0.5,20.988,basal3_0111111,9.99106100471817
209,100.46,-21.95,10.47,0.5,0,112.14,-25.96,9.72,0.5,12.3719,basal3_0111112,12.3719440671222
210,112.14,-25.96,9.72,0.5,12.3719,119.83,-32.2,11.46,0.5,22.4269,basal3_0111112,10.0549142214143
211,119.83,-32.2,11.46,0.5,22.4269,130.4,-39.05,12,0.5,35.034,basal3_0111112,12.607101173545
212,130.4,-39.05,12,0.5,35.034,143.81,-49.05,19.2,0.5,53.2457,basal3_0111112,18.2117571914409
213,143.81,-49.05,19.2,0.5,53.2457,152.34,-51.38,16.2,0.5,62.5833,basal3_0111112,9.33754785797642
214,152.34,-51.38,16.2,0.5,62.5833,157.29,-57.44,16.2,0.5,70.408,basal3_0111112,7.82471085727772
215,157.29,-57.44,16.2,0.5,0,160.36,-62.51,21.69,0.5,8.07898,basal3_01111121,8.0789788958754
216,160.36,-62.51,21.69,0.5,8.07898,169.19,-64.51,19.14,0.5,17.4849,basal3_01111121,9.40592366543551
217,169.19,-64.51,19.14,0.5,17.4849,172.14,-67.51,27.48,0.5,26.8261,basal3_01111121,9.3412044191314
218,172.14,-67.51,27.48,0.5,26.8261,178.02,-67.01,25.59,0.5,33.0226,basal3_01111121,6.19649094246093
219,178.02,-67.01,25.59,0.5,33.0226,185.85,-70.51,37.05,0.5,47.3366,basal3_01111121,14.3139966466393
220,185.85,-70.51,37.05,0.5,47.3366,194.69,-71.51,40.95,0.5,57.0503,basal3_01111121,9.71368107361983
221,157.29,-57.44,16.2,0.5,0,164.08,-55.39,17.39,0.5,7.19186,basal3_01111122,7.19184955348763
222,164.08,-55.39,17.39,0.5,7.19186,167.52,-54.93,20.28,0.5,11.7082,basal3_01111122,4.51633701134005
223,167.52,-54.93,20.28,0.5,11.7082,174.38,-58.93,20.04,0.5,19.6528,basal3_01111122,7.94463340878607
224,174.38,-58.93,20.04,0.5,19.6528,182.71,-56.93,17.85,0.5,28.4951,basal3_01111122,8.84222822596206
225,182.71,-56.93,17.85,0.5,28.4951,186.64,-54.43,17.31,0.5,33.184,basal3_01111122,4.68897643414848
226,95.56,-21.42,5.7,1,0,96.33,-27.2,-12.3,0.5,18.9209,basal3_011112,18.9209222819608
227,96.33,-27.2,-12.3,0.5,18.9209,100.69,-25.57,-11.91,0.5,23.592,basal3_011112,4.67103842844394
228,100.69,-25.57,-11.91,0.5,23.592,108.38,-20.05,-9.54,0.5,33.3502,basal3_011112,9.75824779353342
229,108.38,-20.05,-9.54,0.5,0,106.82,-15.63,-44.19,0.5,34.9656,basal3_0111121,34.9655902281085
230,108.38,-20.05,-9.54,0.5,0,116.8,-22.86,-44.67,0.5,36.2341,basal3_0111122,36.2340916817298
231,116.8,-22.86,-44.67,0.5,36.2341,120.84,-22.7,-42.63,0.5,40.7627,basal3_0111122,4.52866426223009
232,120.84,-22.7,-42.63,0.5,40.7627,129.04,-21.89,-44.13,0.5,49.1381,basal3_0111122,8.3753268592933
233,129.04,-21.89,-44.13,0.5,49.1381,136.06,-21.85,-44.25,0.5,56.1592,basal3_0111122,7.02113950865528
234,136.06,-21.85,-44.25,0.5,56.1592,136.69,-18.91,-44.19,0.5,59.1666,basal3_0111122,3.00734101824186
235,78.47,-19.32,3.9,1,0,84.83,-24.76,4.95,0.5,8.43479,basal3_01112,8.43479104661165
236,84.83,-24.76,4.95,0.5,8.43479,88.52,-28.61,4.95,0.5,13.7676,basal3_01112,5.33278538851883
237,88.52,-28.61,4.95,0.5,0,90.87,-31.67,-14.43,0.5,19.7603,basal3_011121,19.760326414308
